Tracks,Users,name
#Sbatti,"['31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Christian']"
10 RAGAZZE (con ERNIA),"['l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Manuello', 'Christian']"
3 PALI,"['40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Ale Galli', 'Manuello']"
30,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
4 Minutes (feat. Justin Timberlake & Timbaland),"['11126184093', 'matipelle']","['Teo', 'matipelle']"
5 Gocce (feat. Rkomi),"['gig1g5ugxxaprg5037v9s4e85', '40typl19xf8hu1qq5nm7eiq6o', 'camicere', 'elvica2000', 'matipelle']","['Dave', 'Ale Galli', 'Cam', 'Thomas', 'matipelle']"
50 Special,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Chiara', 'Martol']"
64 BARRE DI PAURA,"['11126184093', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Teo', 'Manuello']"
7 su 7,"['ztvdly5rcltcv43e6gysceb2i', 'fossabmx', 'maudevaglio']","['Mattia', 'Fossa', 'Maude']"
9.19,"['40typl19xf8hu1qq5nm7eiq6o', 'iw05lofaizn72mk59xuiteuae']","['Ale Galli', 'Christian']"
9il w 9al,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
ALIBI,"['40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Ale Galli', 'Manuello', 'Cam']"
APRI,"['11126184093', 'iw05lofaizn72mk59xuiteuae']","['Teo', 'Christian']"
Acapulco,"['11147069621', 'elvica2000']","['Ale', 'Thomas']"
Aglio e olio,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio', 'neeliel']","['Dave', 'Maude', 'Mati']"
Alcool & Acqua (feat. PSICOLOGI),"['gig1g5ugxxaprg5037v9s4e85', '21gljyydsnva2lf5m7zb4dyzi', '8an8d54s7xaucp6rhyvdm9odt']","['Dave', 'Svngvlli', 'Pietro']"
All The Small Things,"['l6r6ydnvf8hl1djc2aczqzu8f', 'davofuga']","['Manuello', 'Fughi']"
Amici,"['l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Manuello', 'Christian']"
Amnésie,"['8an8d54s7xaucp6rhyvdm9odt', 'elvica2000', 'matipelle']","['Pietro', 'Thomas', 'matipelle']"
Amore (feat. Greg Willen),"['gig1g5ugxxaprg5037v9s4e85', '21gljyydsnva2lf5m7zb4dyzi']","['Dave', 'Svngvlli']"
Andrea,"['gig1g5ugxxaprg5037v9s4e85', '21gljyydsnva2lf5m7zb4dyzi', 'fossabmx', 'elvica2000']","['Dave', 'Svngvlli', 'Fossa', 'Thomas']"
Angelina Jolie,"['gig1g5ugxxaprg5037v9s4e85', '21gljyydsnva2lf5m7zb4dyzi', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Dave', 'Svngvlli', 'Manuello', 'Cam']"
Another Love,"['davofuga', 'qhokpua1c15zyulkxf5yul0xa', 'maudevaglio']","['Fughi', 'Anto', 'Maude']"
BABY GODDAMN,"['gig1g5ugxxaprg5037v9s4e85', '21gljyydsnva2lf5m7zb4dyzi', 'fossabmx', 'iw05lofaizn72mk59xuiteuae', 'matipelle']","['Dave', 'Svngvlli', 'Fossa', 'Christian', 'matipelle']"
BLISTER (feat. Franco126),"['21gljyydsnva2lf5m7zb4dyzi', 'camicere']","['Svngvlli', 'Cam']"
BUBBLE (feat. thasup & Salmo),"['gig1g5ugxxaprg5037v9s4e85', '8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'qhokpua1c15zyulkxf5yul0xa', 'elvica2000', 'matipelle']","['Dave', 'Pietro', 'Ale Galli', 'Anto', 'Thomas', 'matipelle']"
BUGIA (feat. Tory Lanez),"['21gljyydsnva2lf5m7zb4dyzi', '8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Svngvlli', 'Pietro', 'Ale Galli', 'Manuello', 'Cam']"
Bella,"['8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'iw05lofaizn72mk59xuiteuae']","['Pietro', 'Manuello', 'Cam', 'Christian']"
Better Now,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Ousssssama', 'Manuello']"
Bikini Bottom,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
Bimbi,"['8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Pietro', 'Manuello']"
Bisous,"['40typl19xf8hu1qq5nm7eiq6o', 'elvica2000']","['Ale Galli', 'Thomas']"
Blanc Orange (Nanana),"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
Blauer,"['11147069621', '40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale', 'Ale Galli', 'Fossa']"
Blitz! (feat. Geolier),"['11147069621', '21gljyydsnva2lf5m7zb4dyzi']","['Ale', 'Svngvlli']"
Blu Intenso (feat. Tedua) - prod. thasup,"['8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Pietro', 'Manuello']"
Blue Bandana,"['8an8d54s7xaucp6rhyvdm9odt', 'fossabmx']","['Pietro', 'Fossa']"
"Blueface (feat. Izi, Tedua)","['21gljyydsnva2lf5m7zb4dyzi', 'camicere']","['Svngvlli', 'Cam']"
Breezeblocks,"['31udo6usr5a2v3pfyql5d6phwygi', 'neeliel']","['Naginni97', 'Mati']"
Brividi,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'ztvdly5rcltcv43e6gysceb2i', 'camicere', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Chiara', 'Martol', 'Mattia', 'Cam', 'Christian']"
Brivido,"['l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'iw05lofaizn72mk59xuiteuae']","['Manuello', 'Cam', 'Christian']"
Brutte compagnie,"['gig1g5ugxxaprg5037v9s4e85', 'neeliel']","['Dave', 'Mati']"
Burn,"['s0llvygqb9553uvo8rh958ws8', 'davofuga']","['Diego', 'Fughi']"
"CADILLAC (feat. MV Killa, Geolier, Tony Effe)","['40typl19xf8hu1qq5nm7eiq6o', 'elvica2000']","['Ale Galli', 'Thomas']"
CI SARÒ,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
CINEMA,"['l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Manuello', 'Cam']"
COMINCIA TU (feat. Rosa Chemical),"['21gljyydsnva2lf5m7zb4dyzi', 'fossabmx']","['Svngvlli', 'Fossa']"
CRAZY LOVE,"['gig1g5ugxxaprg5037v9s4e85', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'qhokpua1c15zyulkxf5yul0xa', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Manuello', 'Cam', 'Anto', 'Christian']"
CREATUR (feat. Geolier & Ernia),"['11147069621', 'elvica2000']","['Ale', 'Thomas']"
CRUDELIA - I nervi,"['l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Manuello', 'Cam']"
CRY LATER (feat. Sfera Ebbasta & Luchè),"['21gljyydsnva2lf5m7zb4dyzi', '40typl19xf8hu1qq5nm7eiq6o', 'qhokpua1c15zyulkxf5yul0xa']","['Svngvlli', 'Ale Galli', 'Anto']"
"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","['qhokpua1c15zyulkxf5yul0xa', 'iw05lofaizn72mk59xuiteuae']","['Anto', 'Christian']"
Can't Hold Us (feat. Ray Dalton),"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'l6r6ydnvf8hl1djc2aczqzu8f', 'maudevaglio']","['Chiara', 'Martol', 'Manuello', 'Maude']"
Cancelo,"['8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'fossabmx', 'elvica2000']","['Pietro', 'Ale Galli', 'Manuello', 'Fossa', 'Thomas']"
Caos,"['11126184093', 'camicere']","['Teo', 'Cam']"
Capri Sun,"['gig1g5ugxxaprg5037v9s4e85', 'camicere', 'fossabmx', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Dave', 'Cam', 'Fossa', 'Christian', 'Thomas']"
Catrame (feat. Tedua),"['11147069621', 'camicere', 'elvica2000']","['Ale', 'Cam', 'Thomas']"
Ciao Ciao,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74']","['Dave', 'Chiara']"
Cin Cin,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Martol']"
Close Your Eyes,"['s0llvygqb9553uvo8rh958ws8', 'elvica2000']","['Diego', 'Thomas']"
Cold Heart - PNAU Remix,"['11147069621', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Ale', 'Manuello']"
Come Musica,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Come Va,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio', 'neeliel']","['Dave', 'Maude', 'Mati']"
Come nelle canzoni,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Chiara', 'Martol']"
Compliquè (feat. Shiva & Ghali),"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx', 'elvica2000']","['Ale Galli', 'Fossa', 'Thomas']"
Concedimi,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Counting Stars,"['11147069621', 'no967zpi2pfq2zcwo3veh6y74']","['Ale', 'Chiara']"
DAM 2 (il ritorno),"['31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Christian']"
DOPE BOY,"['21gljyydsnva2lf5m7zb4dyzi', 'elvica2000']","['Svngvlli', 'Thomas']"
"DREAM TEAM (feat. Pyrex, Capo Plaza, Tedua & Shiva)","['40typl19xf8hu1qq5nm7eiq6o', 'camicere', 'iw05lofaizn72mk59xuiteuae']","['Ale Galli', 'Cam', 'Christian']"
Dam,"['31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Christian']"
Darkness,"['s0llvygqb9553uvo8rh958ws8', '1186033663']","['Diego', 'Riccardo']"
Davide (feat. Coez),"['31dafcka6zlofk7ltol5vr64nsgq', 'davofuga']","['Martol', 'Fughi']"
Demons,"['11147069621', 'bea.passarino', '31dafcka6zlofk7ltol5vr64nsgq']","['Ale', 'Pandarino', 'Martol']"
Dende,"['8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae', 'matipelle']","['Pietro', 'Manuello', 'Christian', 'matipelle']"
Destri,"['no967zpi2pfq2zcwo3veh6y74', 'davofuga']","['Chiara', 'Fughi']"
Die Young,"['11147069621', 'davofuga']","['Ale', 'Fughi']"
Doja,"['gamev3awajc0w7zm3un6oi7im', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Mehjibi', 'Manuello']"
Dorado (feat. Sfera Ebbasta & Feid),"['qhokpua1c15zyulkxf5yul0xa', 'iw05lofaizn72mk59xuiteuae']","['Anto', 'Christian']"
Dove Si Balla,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'fossabmx', 'qhokpua1c15zyulkxf5yul0xa', 'maudevaglio', 'matipelle']","['Dave', 'Ale', 'Chiara', 'Martol', 'Fossa', 'Anto', 'Maude', 'matipelle']"
Dynamite,"['11147069621', 'davofuga']","['Ale', 'Fughi']"
EGO,"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
EXPERIMENTO,"['11147069621', 'elvica2000']","['Ale', 'Thomas']"
Easy (feat. Fivio Foreign),"['8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'camicere', 'fossabmx']","['Pietro', 'Ale Galli', 'Cam', 'Fossa']"
Eiwa,"['21gljyydsnva2lf5m7zb4dyzi', '40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Svngvlli', 'Ale Galli', 'Fossa']"
Enemy (with JID) - from the series Arcane League of Legends,"['11147069621', 'gamev3awajc0w7zm3un6oi7im', 'l6r6ydnvf8hl1djc2aczqzu8f', 'qhokpua1c15zyulkxf5yul0xa']","['Ale', 'Mehjibi', 'Manuello', 'Anto']"
Estate,"['camicere', '31udo6usr5a2v3pfyql5d6phwygi']","['Cam', 'Naginni97']"
Extasi,"['gig1g5ugxxaprg5037v9s4e85', 'elvica2000']","['Dave', 'Thomas']"
"FALENA (feat. Franco126, Coez & Ketama126)","['no967zpi2pfq2zcwo3veh6y74', '21gljyydsnva2lf5m7zb4dyzi', 'ztvdly5rcltcv43e6gysceb2i', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Chiara', 'Svngvlli', 'Mattia', 'Christian', 'Thomas']"
FINIMONDO,"['camicere', 'matipelle']","['Cam', 'matipelle']"
FORTUNA,"['8an8d54s7xaucp6rhyvdm9odt', 'iw05lofaizn72mk59xuiteuae']","['Pietro', 'Christian']"
FRANCHISE (feat. Young Thug & M.I.A.),"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
FREE SOLO (feat. Marracash),"['8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'iw05lofaizn72mk59xuiteuae']","['Pietro', 'Ale Galli', 'Christian']"
Faccio un casino,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Fare Schifo (Con Me),"['ztvdly5rcltcv43e6gysceb2i', 'fossabmx', 'maudevaglio']","['Mattia', 'Fossa', 'Maude']"
Ferma A Guardare (feat. Pinguini Tattici Nucleari),"['gig1g5ugxxaprg5037v9s4e85', '11126184093', 'bea.passarino', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', '21gljyydsnva2lf5m7zb4dyzi', 'iw05lofaizn72mk59xuiteuae', 'maudevaglio']","['Dave', 'Teo', 'Pandarino', 'Chiara', 'Martol', 'Svngvlli', 'Christian', 'Maude']"
Ferrari,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', '8an8d54s7xaucp6rhyvdm9odt', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Dave', 'Ale', 'Pietro', 'Christian', 'Thomas']"
Ferrari - Remix,"['gig1g5ugxxaprg5037v9s4e85', 'd8zrizl2vgb7bqwdhfgj2e9oh', '40typl19xf8hu1qq5nm7eiq6o', 'fossabmx', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Ousssssama', 'Ale Galli', 'Fossa', 'Christian']"
Finché Non Mi Seppelliscono,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', 'davofuga', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Ale', 'Fughi', 'Christian']"
Fire,"['s0llvygqb9553uvo8rh958ws8', 'bea.passarino']","['Diego', 'Pandarino']"
Follow You,"['bea.passarino', '1186033663']","['Pandarino', 'Riccardo']"
Fottiti (feat. Tony Effe),"['21gljyydsnva2lf5m7zb4dyzi', '40typl19xf8hu1qq5nm7eiq6o']","['Svngvlli', 'Ale Galli']"
Gente de la Mañana,"['fossabmx', 'davofuga', 'iw05lofaizn72mk59xuiteuae']","['Fossa', 'Fughi', 'Christian']"
Gigolò (feat. Sfera Ebbasta & Capo Plaza),"['11147069621', '8an8d54s7xaucp6rhyvdm9odt']","['Ale', 'Pietro']"
Giovani Wannabe,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'matipelle']","['Dave', 'Pandarino', 'Chiara', 'Martol', 'matipelle']"
Girasoli,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Giulia,"['31dafcka6zlofk7ltol5vr64nsgq', 'l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Manuello', 'Christian']"
Glimpse of Us,"['bea.passarino', 'gamev3awajc0w7zm3un6oi7im']","['Pandarino', 'Mehjibi']"
HIGHEST IN THE ROOM,"['gamev3awajc0w7zm3un6oi7im', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Mehjibi', 'Manuello']"
Habibi,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'iw05lofaizn72mk59xuiteuae']","['Ousssssama', 'Christian']"
Hace Calor - Remix,"['gig1g5ugxxaprg5037v9s4e85', 'camicere', 'fossabmx', 'matipelle']","['Dave', 'Cam', 'Fossa', 'matipelle']"
Hall of Fame (feat. will.i.am),"['no967zpi2pfq2zcwo3veh6y74', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Chiara', 'Manuello']"
Heat Waves,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', 'l6r6ydnvf8hl1djc2aczqzu8f', 'davofuga', 'elvica2000']","['Dave', 'Ale', 'Manuello', 'Fughi', 'Thomas']"
Hooligans,"['21gljyydsnva2lf5m7zb4dyzi', 'fossabmx']","['Svngvlli', 'Fossa']"
Horror,"['ztvdly5rcltcv43e6gysceb2i', 'fossabmx']","['Mattia', 'Fossa']"
I love you baby,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', 'camicere']","['Dave', 'Chiara', 'Cam']"
I'm Good (Blue),"['gig1g5ugxxaprg5037v9s4e85', 'elvica2000']","['Dave', 'Thomas']"
I'm Still Standing,"['maudevaglio', 'matipelle']","['Maude', 'matipelle']"
I'm Yours,"['no967zpi2pfq2zcwo3veh6y74', 'matipelle']","['Chiara', 'matipelle']"
IDK,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
IL GIORNO PIÙ TRISTE DEL MONDO (feat. Ariete & Mecna),"['11126184093', 'camicere']","['Teo', 'Cam']"
INDUSTRY BABY (feat. Jack Harlow),"['11147069621', 'l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Ale', 'Manuello', 'Christian']"
INSUPERABILE,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'matipelle']","['Dave', 'Chiara', 'Martol', 'matipelle']"
IO,"['l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'qhokpua1c15zyulkxf5yul0xa']","['Manuello', 'Cam', 'Anto']"
Il Terrone Va Di Moda,"['31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Christian']"
Il cielo si tinge di blu,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Martol']"
Infinity,"['11147069621', 'qhokpua1c15zyulkxf5yul0xa']","['Ale', 'Anto']"
Inuyasha,"['qhokpua1c15zyulkxf5yul0xa', 'iw05lofaizn72mk59xuiteuae']","['Anto', 'Christian']"
Iside (feat. Luchè),"['11147069621', 'fossabmx']","['Ale', 'Fossa']"
Italiani a Londra,"['davofuga', 'iw05lofaizn72mk59xuiteuae']","['Fughi', 'Christian']"
JEFE,"['8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Pietro', 'Manuello']"
Jungle,"['21gljyydsnva2lf5m7zb4dyzi', 'fossabmx']","['Svngvlli', 'Fossa']"
KUMITE,"['gig1g5ugxxaprg5037v9s4e85', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Dave', 'Manuello', 'Cam']"
L'ultima notte,"['no967zpi2pfq2zcwo3veh6y74', 'maudevaglio']","['Chiara', 'Maude']"
LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO),"['gig1g5ugxxaprg5037v9s4e85', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Christian']"
LA CODA DEL DIAVOLO (con ELODIE),"['gig1g5ugxxaprg5037v9s4e85', '11147069621', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', '8an8d54s7xaucp6rhyvdm9odt', 'qhokpua1c15zyulkxf5yul0xa', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Dave', 'Ale', 'Chiara', 'Martol', 'Pietro', 'Anto', 'Christian', 'Thomas']"
LA DOLCE VITA,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'fossabmx']","['Dave', 'Ale', 'Chiara', 'Martol', 'Fossa']"
LAPROVINCE #1,"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
LAPROVINCE #2,"['40typl19xf8hu1qq5nm7eiq6o', 'elvica2000']","['Ale Galli', 'Thomas']"
LOCO,"['8an8d54s7xaucp6rhyvdm9odt', 'iw05lofaizn72mk59xuiteuae']","['Pietro', 'Christian']"
LONDRA,"['no967zpi2pfq2zcwo3veh6y74', '8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Chiara', 'Pietro', 'Manuello']"
LUNA PIENA (con IRAMA),"['no967zpi2pfq2zcwo3veh6y74', 'iw05lofaizn72mk59xuiteuae']","['Chiara', 'Christian']"
La Bellavita (feat. Jul),"['40typl19xf8hu1qq5nm7eiq6o', 'elvica2000']","['Ale Galli', 'Thomas']"
La Danza,"['8an8d54s7xaucp6rhyvdm9odt', 'elvica2000']","['Pietro', 'Thomas']"
La G La U La E pt.2,"['21gljyydsnva2lf5m7zb4dyzi', '8an8d54s7xaucp6rhyvdm9odt']","['Svngvlli', 'Pietro']"
La Meglio Gioventù,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio']","['Dave', 'Maude']"
La Nuova Stella Di Broadway,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Chiara', 'Martol']"
La Triste Storia Dei Ragazzi Di Provincia,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae', 'maudevaglio']","['Dave', 'Martol', 'Christian', 'Maude']"
La musica non c'è,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
La shampista,"['31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Christian']"
La storia infinita,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino']","['Dave', 'Pandarino']"
La tua canzone,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Lake Washington Boulevard,"['bea.passarino', '31dafcka6zlofk7ltol5vr64nsgq', 'maudevaglio']","['Pandarino', 'Martol', 'Maude']"
