Tracks,Users,name
Le luci della città,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Lei (feat. Bené),"['d8zrizl2vgb7bqwdhfgj2e9oh', '40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ousssssama', 'Ale Galli', 'Fossa']"
Let Down,"['ztvdly5rcltcv43e6gysceb2i', 'nicholas.apuzzo1998']","['Mattia', 'Nicho']"
Let Me Down,"['bea.passarino', '31udo6usr5a2v3pfyql5d6phwygi']","['Pandarino', 'Naginni97']"
Levitating (feat. DaBaby),"['11147069621', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Ale', 'Manuello']"
Lingerie,"['21gljyydsnva2lf5m7zb4dyzi', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Svngvlli', 'Manuello']"
Locked out of Heaven,"['11126184093', '11147069621']","['Teo', 'Ale']"
Logico #1,"['davofuga', 'qhokpua1c15zyulkxf5yul0xa']","['Fughi', 'Anto']"
M.S.O.M.,"['11126184093', 'iw05lofaizn72mk59xuiteuae']","['Teo', 'Christian']"
METAMASK,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
MI FAI IMPAZZIRE,"['gig1g5ugxxaprg5037v9s4e85', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Christian']"
MOLOTOV,"['gig1g5ugxxaprg5037v9s4e85', '11126184093', '11147069621', '8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'fossabmx', 'elvica2000', 'matipelle']","['Dave', 'Teo', 'Ale', 'Pietro', 'Ale Galli', 'Manuello', 'Cam', 'Fossa', 'Thomas', 'matipelle']"
MUJER,"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx', 'elvica2000']","['Ale Galli', 'Fossa', 'Thomas']"
"Mai brillo – feat. Disme, Vaz Tè","['21gljyydsnva2lf5m7zb4dyzi', 'elvica2000']","['Svngvlli', 'Thomas']"
Mama (feat. Nitro),"['11126184093', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Teo', 'Manuello']"
Mamma Mia,"['gig1g5ugxxaprg5037v9s4e85', '40typl19xf8hu1qq5nm7eiq6o', 'camicere', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Dave', 'Ale Galli', 'Cam', 'Christian', 'Thomas']"
Mamma Non Mi Parla,"['ztvdly5rcltcv43e6gysceb2i', 'l6r6ydnvf8hl1djc2aczqzu8f', 'fossabmx']","['Mattia', 'Manuello', 'Fossa']"
Maps,"['qhokpua1c15zyulkxf5yul0xa', 'elvica2000']","['Anto', 'Thomas']"
Meglio di così,"['gig1g5ugxxaprg5037v9s4e85', 'neeliel']","['Dave', 'Mati']"
Mi Fiderò (feat. Madame),"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'qhokpua1c15zyulkxf5yul0xa']","['Chiara', 'Martol', 'Anto']"
Michelle Pfeiffer (feat. Tony Effe),"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx', 'iw05lofaizn72mk59xuiteuae']","['Ale Galli', 'Fossa', 'Christian']"
Mister Salta,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
Mon Amour - Remix,"['11147069621', 'davofuga']","['Ale', 'Fughi']"
Monti (feat. Tony Effe & Pyrex),"['gamev3awajc0w7zm3un6oi7im', 'fossabmx']","['Mehjibi', 'Fossa']"
Morphine,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
Moth To A Flame (with The Weeknd),"['l6r6ydnvf8hl1djc2aczqzu8f', 'elvica2000']","['Manuello', 'Thomas']"
Mujer (feat. Madame),"['40typl19xf8hu1qq5nm7eiq6o', 'camicere']","['Ale Galli', 'Cam']"
Mulberry Street,"['bea.passarino', '31udo6usr5a2v3pfyql5d6phwygi']","['Pandarino', 'Naginni97']"
My Universe,"['gig1g5ugxxaprg5037v9s4e85', 'qhokpua1c15zyulkxf5yul0xa', 'elvica2000']","['Dave', 'Anto', 'Thomas']"
NEMESI (feat. BLANCO),"['gig1g5ugxxaprg5037v9s4e85', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'iw05lofaizn72mk59xuiteuae', 'matipelle']","['Dave', 'Manuello', 'Cam', 'Christian', 'matipelle']"
NESSUNO (feat. Geolier),"['11147069621', '8an8d54s7xaucp6rhyvdm9odt', 'elvica2000']","['Ale', 'Pietro', 'Thomas']"
NOTTE SCURA (feat. Gazzelle & Tedua),"['no967zpi2pfq2zcwo3veh6y74', 'camicere']","['Chiara', 'Cam']"
NUOVO RANGE (con SFERA EBBASTA),"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Chiara', 'Martol', 'Manuello', 'Christian']"
Never Titty 2,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
Niente da perdere,"['40typl19xf8hu1qq5nm7eiq6o', 'camicere', 'fossabmx', 'elvica2000']","['Ale Galli', 'Cam', 'Fossa', 'Thomas']"
No Va Be,"['8an8d54s7xaucp6rhyvdm9odt', 'iw05lofaizn72mk59xuiteuae']","['Pietro', 'Christian']"
No wallet (feat. Marracash),"['camicere', 'fossabmx']","['Cam', 'Fossa']"
Non Abbiamo Età,"['31dafcka6zlofk7ltol5vr64nsgq', 'camicere']","['Martol', 'Cam']"
Non sei tu,"['no967zpi2pfq2zcwo3veh6y74', 'camicere', 'davofuga']","['Chiara', 'Cam', 'Fughi']"
Non è Easy,"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
Nonono,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino']","['Dave', 'Pandarino']"
Nostalgia,"['gig1g5ugxxaprg5037v9s4e85', 'camicere', 'iw05lofaizn72mk59xuiteuae', 'elvica2000', 'matipelle']","['Dave', 'Cam', 'Christian', 'Thomas', 'matipelle']"
Notti In Bianco,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq', 'l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae', 'matipelle']","['Dave', 'Martol', 'Manuello', 'Christian', 'matipelle']"
OUV3RTURE,"['8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Pietro', 'Manuello', 'Cam']"
Occhi rossi,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'camicere']","['Chiara', 'Martol', 'Cam']"
Omri T3ada,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
On My Mind,"['11126184093', '11126184093']",['Teo']
Onde,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio']","['Dave', 'Maude']"
Open Bar,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Martol', 'Christian']"
Orango Tango,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio']","['Dave', 'Maude']"
PAMPAMPAMPAMPAMPAMPAMPAM,"['camicere', 'matipelle']","['Cam', 'matipelle']"
PANICO (feat. Takagi & Ketra),"['gig1g5ugxxaprg5037v9s4e85', '11126184093', '11147069621', '8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'fossabmx', 'qhokpua1c15zyulkxf5yul0xa']","['Dave', 'Teo', 'Ale', 'Pietro', 'Ale Galli', 'Manuello', 'Cam', 'Fossa', 'Anto']"
PARA' - feat. Tedua,"['21gljyydsnva2lf5m7zb4dyzi', 'davofuga']","['Svngvlli', 'Fughi']"
PARTIRE DA TE,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Dave', 'Martol', 'Manuello']"
PIOVE (feat. Sfera Ebbasta),"['gig1g5ugxxaprg5037v9s4e85', '11126184093', '11147069621', '21gljyydsnva2lf5m7zb4dyzi', 'd8zrizl2vgb7bqwdhfgj2e9oh', '8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'iw05lofaizn72mk59xuiteuae', 'elvica2000', 'matipelle']","['Dave', 'Teo', 'Ale', 'Svngvlli', 'Ousssssama', 'Pietro', 'Ale Galli', 'Manuello', 'Cam', 'Christian', 'Thomas', 'matipelle']"
PUTO (feat. French Montana),"['l6r6ydnvf8hl1djc2aczqzu8f', 'fossabmx']","['Manuello', 'Fossa']"
Paraocchi,"['l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Manuello', 'Christian']"
Parlami,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Pastello Bianco,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'qhokpua1c15zyulkxf5yul0xa', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Pandarino', 'Chiara', 'Martol', 'Anto', 'Christian']"
Payphone,"['no967zpi2pfq2zcwo3veh6y74', 'qhokpua1c15zyulkxf5yul0xa']","['Chiara', 'Anto']"
Pensando a lei,"['gig1g5ugxxaprg5037v9s4e85', '11126184093', '40typl19xf8hu1qq5nm7eiq6o', 'camicere', 'fossabmx', 'elvica2000']","['Dave', 'Teo', 'Ale Galli', 'Cam', 'Fossa', 'Thomas']"
Per dimenticare,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Però,"['no967zpi2pfq2zcwo3veh6y74', 'davofuga']","['Chiara', 'Fughi']"
Phi,"['l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Manuello', 'Christian']"
Pianeti,"['31dafcka6zlofk7ltol5vr64nsgq', 'qhokpua1c15zyulkxf5yul0xa']","['Martol', 'Anto']"
Pleasantville,"['11126184093', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Teo', 'Manuello']"
Pochette (feat. Noyz Narcos),"['11126184093', '21gljyydsnva2lf5m7zb4dyzi']","['Teo', 'Svngvlli']"
Poetica,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Polo nord - C+N Progressive Mix,"['11126184093', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Teo', 'Manuello']"
Polynesia,"['no967zpi2pfq2zcwo3veh6y74', 'davofuga']","['Chiara', 'Fughi']"
Pornstar (feat. Sfera Ebbasta),"['40typl19xf8hu1qq5nm7eiq6o', 'camicere']","['Ale Galli', 'Cam']"
Portofino,"['31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Christian']"
Punkabbestia,"['ztvdly5rcltcv43e6gysceb2i', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Mattia', 'Manuello']"
"Puro Sinaloa (feat. Tedua, Rkomi & Lazza)","['l6r6ydnvf8hl1djc2aczqzu8f', 'iw05lofaizn72mk59xuiteuae']","['Manuello', 'Christian']"
REPLAY,"['l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Manuello', 'Cam']"
Reality,"['no967zpi2pfq2zcwo3veh6y74', '8an8d54s7xaucp6rhyvdm9odt']","['Chiara', 'Pietro']"
Ricordi,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio']","['Dave', 'Maude']"
Ridere,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Pandarino', 'Chiara', 'Martol']"
Ringo Starr,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino', '31dafcka6zlofk7ltol5vr64nsgq', 'matipelle']","['Dave', 'Pandarino', 'Martol', 'matipelle']"
Riptide,"['no967zpi2pfq2zcwo3veh6y74', 'davofuga', 'maudevaglio']","['Chiara', 'Fughi', 'Maude']"
SAPORE – with Tedua,"['gig1g5ugxxaprg5037v9s4e85', 'camicere']","['Dave', 'Cam']"
SENZA RUMORE,"['8an8d54s7xaucp6rhyvdm9odt', 'camicere', 'elvica2000']","['Pietro', 'Cam', 'Thomas']"
SESSO OCCASIONALE,"['gig1g5ugxxaprg5037v9s4e85', '11126184093', 'no967zpi2pfq2zcwo3veh6y74', 'fossabmx', 'maudevaglio']","['Dave', 'Teo', 'Chiara', 'Fossa', 'Maude']"
SIAMO DI UN ALTRO PIANETA,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74']","['Dave', 'Chiara']"
SOGNI D'ORO,"['8an8d54s7xaucp6rhyvdm9odt', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Pietro', 'Manuello', 'Cam']"
SOGNI MATTI (feat. Leon Faun & Drast),"['no967zpi2pfq2zcwo3veh6y74', 'iw05lofaizn72mk59xuiteuae']","['Chiara', 'Christian']"
SOLITE PARE (feat. thasup & Sfera Ebbasta),"['gig1g5ugxxaprg5037v9s4e85', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'fossabmx', 'iw05lofaizn72mk59xuiteuae', 'matipelle']","['Dave', 'Ale Galli', 'Manuello', 'Cam', 'Fossa', 'Christian', 'matipelle']"
SPINE (feat. Coez),"['21gljyydsnva2lf5m7zb4dyzi', 'camicere']","['Svngvlli', 'Cam']"
STUPIDO,"['l6r6ydnvf8hl1djc2aczqzu8f', 'camicere']","['Manuello', 'Cam']"
SUMMERSAD 3,"['bea.passarino', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Pandarino', 'Manuello']"
SUPERMODEL,"['no967zpi2pfq2zcwo3veh6y74', 'maudevaglio']","['Chiara', 'Maude']"
San Siro,"['davofuga', 'iw05lofaizn72mk59xuiteuae']","['Fughi', 'Christian']"
Scintille,"['no967zpi2pfq2zcwo3veh6y74', 'davofuga']","['Chiara', 'Fughi']"
Scooby Doo,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino', '31dafcka6zlofk7ltol5vr64nsgq', 'matipelle']","['Dave', 'Pandarino', 'Martol', 'matipelle']"
Scrivile Scemo,"['gig1g5ugxxaprg5037v9s4e85', 'bea.passarino', 'matipelle']","['Dave', 'Pandarino', 'matipelle']"
Se Fem?,"['fossabmx', 'davofuga', 'iw05lofaizn72mk59xuiteuae']","['Fossa', 'Fughi', 'Christian']"
Seignosse,"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
Sentimenti 1,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
Settimana Bianca,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Chiara', 'Martol', 'Christian']"
Shakerando,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'fossabmx', 'iw05lofaizn72mk59xuiteuae', 'elvica2000', 'matipelle']","['Dave', 'Martol', 'Ale Galli', 'Manuello', 'Fossa', 'Christian', 'Thomas', 'matipelle']"
Sharapova,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
Shivers,"['11147069621', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Ale', 'Manuello']"
"Si, ah","['matipelle', '31udo6usr5a2v3pfyql5d6phwygi']","['matipelle', 'Naginni97']"
Sinfonia della distruzione,"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
Soldi Puliti,"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
Someday,"['nicholas.apuzzo1998', '31udo6usr5a2v3pfyql5d6phwygi']","['Nicho', 'Naginni97']"
Sopra,"['no967zpi2pfq2zcwo3veh6y74', 'davofuga']","['Chiara', 'Fughi']"
Sotto Controllo,"['11126184093', '21gljyydsnva2lf5m7zb4dyzi']","['Teo', 'Svngvlli']"
Spezzami il Cuore,"['ztvdly5rcltcv43e6gysceb2i', 'fossabmx']","['Mattia', 'Fossa']"
Stanotte,"['21gljyydsnva2lf5m7zb4dyzi', 'fossabmx']","['Svngvlli', 'Fossa']"
Star (feat. Shiva),"['40typl19xf8hu1qq5nm7eiq6o', 'fossabmx']","['Ale Galli', 'Fossa']"
Step By Step,"['21gljyydsnva2lf5m7zb4dyzi', 'camicere']","['Svngvlli', 'Cam']"
Stereo Hearts (feat. Adam Levine),"['11147069621', 'qhokpua1c15zyulkxf5yul0xa']","['Ale', 'Anto']"
Su di Te,"['l6r6ydnvf8hl1djc2aczqzu8f', 'fossabmx']","['Manuello', 'Fossa']"
Sunroof,"['11147069621', 'no967zpi2pfq2zcwo3veh6y74']","['Ale', 'Chiara']"
TERRITORY,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
THE LONELIEST,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio']","['Dave', 'Maude']"
Tahki berasmi !!,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
Te Quiero,"['camicere', 'fossabmx', 'elvica2000']","['Cam', 'Fossa', 'Thomas']"
The Less I Know The Better,"['31udo6usr5a2v3pfyql5d6phwygi', 'neeliel']","['Naginni97', 'Mati']"
The Motto,"['11147069621', '8an8d54s7xaucp6rhyvdm9odt', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Ale', 'Pietro', 'Christian', 'Thomas']"
The Nights,"['11147069621', 'qhokpua1c15zyulkxf5yul0xa']","['Ale', 'Anto']"
The Streets - Re-Twist,"['11126184093', 'matipelle']","['Teo', 'matipelle']"
Ti dedico il silenzio,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
Tommaso,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio', 'neeliel']","['Dave', 'Maude', 'Mati']"
Toxic,"['bea.passarino', 'davofuga', 'matipelle']","['Pandarino', 'Fughi', 'matipelle']"
Trafficante,"['d8zrizl2vgb7bqwdhfgj2e9oh', '40typl19xf8hu1qq5nm7eiq6o']","['Ousssssama', 'Ale Galli']"
Troppi Preti Troppe Suore,"['gig1g5ugxxaprg5037v9s4e85', 'maudevaglio']","['Dave', 'Maude']"
Try,"['davofuga', 'qhokpua1c15zyulkxf5yul0xa']","['Fughi', 'Anto']"
Tusa,"['11147069621', 'davofuga']","['Ale', 'Fughi']"
TÊTE (feat. Medy & VillaBanks),"['11147069621', '40typl19xf8hu1qq5nm7eiq6o', 'fossabmx', 'elvica2000']","['Ale', 'Ale Galli', 'Fossa', 'Thomas']"
UHLALA,"['8an8d54s7xaucp6rhyvdm9odt', 'camicere']","['Pietro', 'Cam']"
USCITO DI GALERA,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', 'd8zrizl2vgb7bqwdhfgj2e9oh', '8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'iw05lofaizn72mk59xuiteuae']","['Dave', 'Ale', 'Ousssssama', 'Pietro', 'Ale Galli', 'Manuello', 'Cam', 'Christian']"
Ultimo,"['31dafcka6zlofk7ltol5vr64nsgq', 'iw05lofaizn72mk59xuiteuae']","['Martol', 'Christian']"
Una Lacrima (feat. Sfera Ebbasta),"['40typl19xf8hu1qq5nm7eiq6o', 'elvica2000']","['Ale Galli', 'Thomas']"
Una Sera,"['maudevaglio', 'neeliel']","['Maude', 'Mati']"
Unconditionally,"['qhokpua1c15zyulkxf5yul0xa', 'maudevaglio']","['Anto', 'Maude']"
Uno squillo,"['11147069621', 'camicere']","['Ale', 'Cam']"
VERANO ZOMBIE PT.3 (feat. Gemello & Metal Carter),"['11126184093', '21gljyydsnva2lf5m7zb4dyzi']","['Teo', 'Svngvlli']"
Vaffanculo Per Sempre,"['ztvdly5rcltcv43e6gysceb2i', 'l6r6ydnvf8hl1djc2aczqzu8f']","['Mattia', 'Manuello']"
Vamonos,"['davofuga', 'iw05lofaizn72mk59xuiteuae']","['Fughi', 'Christian']"
Veleno,"['21gljyydsnva2lf5m7zb4dyzi', '8an8d54s7xaucp6rhyvdm9odt', 'camicere', 'iw05lofaizn72mk59xuiteuae', 'matipelle']","['Svngvlli', 'Pietro', 'Cam', 'Christian', 'matipelle']"
Verdura,"['bea.passarino', '31dafcka6zlofk7ltol5vr64nsgq']","['Pandarino', 'Martol']"
Vieni nel mio cuore,"['gig1g5ugxxaprg5037v9s4e85', 'no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Chiara', 'Martol']"
Virale,"['gig1g5ugxxaprg5037v9s4e85', '31dafcka6zlofk7ltol5vr64nsgq']","['Dave', 'Martol']"
Vita sbagliata,"['11147069621', 'gamev3awajc0w7zm3un6oi7im', 'matipelle']","['Ale', 'Mehjibi', 'matipelle']"
WALLAH,"['iw05lofaizn72mk59xuiteuae', 'matipelle']","['Christian', 'matipelle']"
Walk,"['11147069621', 'matipelle']","['Ale', 'matipelle']"
Wallah,"['d8zrizl2vgb7bqwdhfgj2e9oh', 'gamev3awajc0w7zm3un6oi7im']","['Ousssssama', 'Mehjibi']"
What You Know,"['11126184093', 'nicholas.apuzzo1998']","['Teo', 'Nicho']"
Where Are You Now,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', '8an8d54s7xaucp6rhyvdm9odt', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Dave', 'Ale', 'Pietro', 'Christian', 'Thomas']"
Wonderwall - Remastered,"['bea.passarino', 'nicholas.apuzzo1998']","['Pandarino', 'Nicho']"
X Agosto 2048,"['nicholas.apuzzo1998', 'qhokpua1c15zyulkxf5yul0xa']","['Nicho', 'Anto']"
X6 (feat. BIA),"['8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o']","['Pietro', 'Ale Galli']"
abcdefu,"['gig1g5ugxxaprg5037v9s4e85', '11147069621', 'davofuga']","['Dave', 'Ale', 'Fughi']"
farfalle,"['gig1g5ugxxaprg5037v9s4e85', 'fossabmx', 'elvica2000']","['Dave', 'Fossa', 'Thomas']"
okk@pp@,"['8an8d54s7xaucp6rhyvdm9odt', 'iw05lofaizn72mk59xuiteuae']","['Pietro', 'Christian']"
s!r! (feat. Lazza & Sfera Ebbasta),"['gig1g5ugxxaprg5037v9s4e85', '8an8d54s7xaucp6rhyvdm9odt', '40typl19xf8hu1qq5nm7eiq6o', 'camicere', 'iw05lofaizn72mk59xuiteuae', 'elvica2000']","['Dave', 'Pietro', 'Ale Galli', 'Cam', 'Christian', 'Thomas']"
È sempre bello,"['no967zpi2pfq2zcwo3veh6y74', '31dafcka6zlofk7ltol5vr64nsgq']","['Chiara', 'Martol']"
∞ LOVE (feat. Guè),"['gig1g5ugxxaprg5037v9s4e85', '11126184093', 'l6r6ydnvf8hl1djc2aczqzu8f', 'camicere', 'qhokpua1c15zyulkxf5yul0xa', 'iw05lofaizn72mk59xuiteuae', 'matipelle']","['Dave', 'Teo', 'Manuello', 'Cam', 'Anto', 'Christian', 'matipelle']"
